"","affy_hg_u133_plus_2","external_gene_name"
"6324","206847_s_at","HOXA7"
"6325","205672_at","XPA"
"6326","208493_at","HOXA11"
"6327","206912_at","FOXE1"
"6328","208097_s_at","TMX1"
"6329","207914_x_at","EVX1"
"6330","207362_at","SLC30A4"
"6331","205538_at","CORO2A"
"6332","207252_at","INE1"
"6333","208824_x_at","CDK16"
"6334","207239_s_at","CDK16"
"6335","208823_s_at","CDK16"
"6336","205518_s_at","CMAHP"
"6337","205697_at","SCGN"
"6338","208723_at","USP11"
"6339","205879_x_at","RET"
"6340","205931_s_at","CREB5"
"6341","207051_at","SLC17A4"
"6342","207640_x_at","NTN3"
"6343","206631_at","PTGER2"
"6344","206943_at","TGFBR1"
"6345","206872_at","SLC17A1"
"6346","208019_at","ZNF157"
"6347","205151_s_at","TRIL"
"6348","205150_s_at","TRIL"
"6349","207298_at","SLC17A3"
"6350","208146_s_at","CPVL"
"6351","206380_s_at","Z84466.1"
"6352","207097_s_at","SLC17A2"
"6353","207978_s_at","NR4A3"
"6354","206380_s_at","CFP"
"6355","206261_at","ZNF239"
"6356","207486_x_at","AC004593.2"
"6357","208484_at","H1-1"
"6358","208575_at","H3C1"
"6359","208046_at","H4C1"
"6360","208576_s_at","H3C2"
"6361","208569_at","H2AC4"
"6362","208547_at","H2BC3"
"6363","208577_at","H3C3"
"6364","209398_at","H1-2"
"6365","208959_s_at","ERP44"
"6366","208957_at","ERP44"
"6367","208958_at","ERP44"
"6368","207486_x_at","CHN2"
"6369","206086_x_at","HFE"
"6370","206087_x_at","HFE"
"6371","209210_s_at","FERMT2"
"6372","209209_s_at","FERMT2"
"6373","205123_s_at","MSANTD3-TMEFF1"
"6374","205122_at","MSANTD3-TMEFF1"
"6375","205123_s_at","TMEFF1"
"6376","205122_at","TMEFF1"
"6377","208528_x_at","SSX5"
"6378","206626_x_at","SSX1"
"6379","206627_s_at","SSX1"
"6380","207666_x_at","SSX3"
"6381","209183_s_at","DEPP1"
"6382","209182_s_at","DEPP1"
"6383","207513_s_at","ZNF189"
"6384","208694_at","PRKDC"
"6385","206626_x_at","SSX4"
"6386","208586_s_at","SSX4"
"6387","208256_at","EFNA2"
"6388","205967_at","H4C3"
"6389","206626_x_at","SSX4B"
"6390","208586_s_at","SSX4B"
"6391","208553_at","H1-4"
"6392","208527_x_at","H2BC6"
"6393","208076_at","H4C4"
"6394","208490_x_at","H2BC7"
"6395","206951_at","H4C5"
"6396","208551_at","H4C7"
"6397","208506_at","H3C7"
"6398","208546_x_at","H2BC9"
"6399","208496_x_at","H3C8"
"6400","207780_at","CYLC2"
"6401","208496_x_at","H2AC10P"
"6402","208523_x_at","H2BC10"
"6403","208180_s_at","H4C8"
"6404","205324_s_at","FTSJ1"
"6405","208610_s_at","SRRM2"
"6406","207435_s_at","SRRM2"
"6407","205299_s_at","BTN2A2"
"6408","205298_s_at","BTN2A2"
"6409","208956_x_at","DUT"
"6410","208955_at","DUT"
"6411","205354_at","GAMT"
"6412","208693_s_at","GARS1"
"6413","208319_s_at","RBM3"
"6414","207485_x_at","BTN3A1"
"6415","207897_at","CRHR2"
"6416","209096_at","UBE2V2"
"6417","205400_at","WAS"
"6418","208585_at","BTN2A3P"
"6419","205320_at","APC2"
"6420","205283_at","FKTN"
"6421","206846_s_at","HDAC6"
"6422","207542_s_at","AQP1"
"6423","209047_at","AQP1"
"6424","207825_s_at","GHRHR"
"6425","207430_s_at","MSMB"
"6426","207395_at","BTN1A1"
"6427","207009_at","PHOX2B"
"6428","207151_at","ADCYAP1R1"
"6429","208670_s_at","EID1"
"6430","208669_s_at","EID1"
"6431","207156_at","H2AC11"
"6432","208579_x_at","H2BC12"
"6433","208165_s_at","PRSS16"
"6434","208949_s_at","LGALS3"
"6435","208474_at","CLDN6"
"6436","207303_at","PDE1C"
"6437","206135_at","ST18"
"6438","209153_s_at","TCF3"
"6439","209151_x_at","TCF3"
"6440","209152_s_at","TCF3"
"6441","205219_s_at","GALK2"
"6442","208583_x_at","H4C10P"
"6443","207611_at","H2BC13"
"6444","208583_x_at","H2AC13"
"6445","206110_at","H3C10"
"6446","208583_x_at","H2AC14"
"6447","208515_at","H2BC14"
"6448","208580_x_at","H4C11"
"6449","208580_x_at","H4C12"
"6450","207226_at","H2BC15"
"6451","207212_at","SLC9A3"
"6452","206683_at","ZNF165"
"6453","206579_at","ZKSCAN8"
"6454","207890_s_at","MMP25"
"6455","207289_at","MMP25"
"6456","206179_s_at","TPPP"
"6457","207769_s_at","PQBP1"
"6458","205181_at","ZSCAN9"
"6459","207553_at","OPRK1"
"6460","207014_at","GABRA2"
"6461","205782_at","FGF7"
"6462","208641_s_at","RAC1P2"
"6463","208463_at","GABRA4"
"6464","206507_at","ZSCAN12"
"6465","207010_at","GABRB1"
"6466","207439_s_at","SLC35A2"
"6467","207440_at","SLC35A2"
"6468","209326_at","SLC35A2"
"6469","205768_s_at","SLC27A2"
"6470","205769_at","SLC27A2"
"6471","207067_s_at","HDC"
"6472","206159_at","GDF10"
"6473","206173_x_at","GABPB1"
"6474","207199_at","TERT"
"6475","207722_s_at","BTBD2"
"6476","206842_at","KCND1"
"6477","205510_s_at","GABPB1-IT1"
"6478","205511_at","GABPB1-IT1"
"6479","208864_s_at","TXN"
"6480","206649_s_at","TFE3"
"6481","207633_s_at","MUSK"
"6482","207632_at","MUSK"
"6483","206417_at","CNGA1"
"6484","208710_s_at","AP3D1"
"6485","206592_s_at","AP3D1"
"6486","206828_at","TXK"
"6487","206301_at","TEC"
"6488","209217_s_at","AC231657.3"
"6489","209216_at","WDR45"
"6490","209217_s_at","WDR45"
"6491","206298_at","ARHGAP22"
"6492","209381_x_at","SF3A2"
"6493","206516_at","AMH"
"6494","207347_at","ERCC6"
"6495","207223_s_at","PTBP3"
"6496","205372_at","PLAG1"
"6497","209305_s_at","GADD45B"
"6498","209304_x_at","GADD45B"
"6499","207574_s_at","GADD45B"
"6500","206896_s_at","GNG7"
"6501","207068_at","ZFP37"
"6502","207150_at","SLC18A3"
"6503","205062_x_at","ARID4A"
"6504","209162_s_at","PRPF4"
"6505","209161_at","PRPF4"
"6506","205060_at","PARG"
"6507","206685_at","HCG4"
"6508","208828_at","POLE3"
"6509","205631_at","KIAA0586"
"6510","207406_at","CYP7A1"
"6511","208136_s_at","ZNF213-AS1"
"6512","206416_at","ZNF205"
"6513","207121_s_at","MAPK6"
"6514","205405_at","SEMA5A"
"6515","207124_s_at","GNB5"
"6516","207338_s_at","ZNF200"
"6517","208696_at","CCT5"
"6518","208377_s_at","CACNA1F"
"6519","208262_x_at","MEFV"
"6520","205639_at","AOAH"
"6521","205477_s_at","AMBP"
"6522","205121_at","SGCB"
"6523","205120_s_at","SGCB"
"6524","206016_at","CCDC22"
"6525","205349_at","GNA15"
"6526","206437_at","S1PR4"
"6527","208732_at","RAB2A"
"6528","208734_x_at","RAB2A"
"6529","208733_at","RAB2A"
"6530","208731_at","RAB2A"
"6531","208730_x_at","RAB2A"
"6532","205040_at","ORM1"
"6533","205041_s_at","ORM1"
"6534","205252_at","ZNF174"
"6535","205041_s_at","ORM2"
"6536","207119_at","PRKG1"
"6537","207739_s_at","GAGE10"
"6538","206640_x_at","GAGE12J"
"6539","208155_x_at","GAGE12J"
"6540","207086_x_at","GAGE12J"
"6541","207663_x_at","GAGE12J"
"6542","207739_s_at","GAGE12J"
"6543","208235_x_at","GAGE12J"
"6544","206640_x_at","GAGE13"
"6545","208155_x_at","GAGE13"
"6546","207086_x_at","GAGE13"
"6547","207663_x_at","GAGE13"
"6548","207739_s_at","GAGE13"
"6549","208235_x_at","GAGE13"
"6550","206640_x_at","GAGE2E"
"6551","208155_x_at","GAGE2E"
"6552","207086_x_at","GAGE2E"
"6553","207663_x_at","GAGE2E"
"6554","207739_s_at","GAGE2E"
"6555","208235_x_at","GAGE2E"
"6556","206640_x_at","GAGE12C"
"6557","208155_x_at","GAGE12C"
"6558","207086_x_at","GAGE12C"
"6559","207663_x_at","GAGE12C"
"6560","207739_s_at","GAGE12C"
"6561","208235_x_at","GAGE12C"
"6562","207256_at","MBL2"
"6563","206640_x_at","GAGE12D"
"6564","208155_x_at","GAGE12D"
"6565","207086_x_at","GAGE12D"
"6566","207663_x_at","GAGE12D"
"6567","207739_s_at","GAGE12D"
"6568","208235_x_at","GAGE12D"
"6569","206640_x_at","GAGE12F"
"6570","208155_x_at","GAGE12F"
"6571","207086_x_at","GAGE12F"
"6572","207663_x_at","GAGE12F"
"6573","207739_s_at","GAGE12F"
"6574","208235_x_at","GAGE12F"
"6575","206640_x_at","GAGE12E"
"6576","208155_x_at","GAGE12E"
"6577","207086_x_at","GAGE12E"
"6578","207663_x_at","GAGE12E"
"6579","207739_s_at","GAGE12E"
"6580","208235_x_at","GAGE12E"
"6581","206640_x_at","GAGE12G"
"6582","208155_x_at","GAGE12G"
"6583","207086_x_at","GAGE12G"
"6584","207663_x_at","GAGE12G"
"6585","207739_s_at","GAGE12G"
"6586","208235_x_at","GAGE12G"
"6587","206640_x_at","GAGE12H"
"6588","208155_x_at","GAGE12H"
"6589","207086_x_at","GAGE12H"
"6590","207663_x_at","GAGE12H"
"6591","207739_s_at","GAGE12H"
"6592","208235_x_at","GAGE12H"
"6593","208737_at","ATP6V1G1"
"6594","206929_s_at","NFIC"
"6595","206640_x_at","GAGE2A"
"6596","208155_x_at","GAGE2A"
"6597","207086_x_at","GAGE2A"
"6598","207663_x_at","GAGE2A"
"6599","207739_s_at","GAGE2A"
"6600","208235_x_at","GAGE2A"
"6601","206640_x_at","GAGE1"
"6602","208155_x_at","GAGE1"
"6603","207086_x_at","GAGE1"
"6604","207663_x_at","GAGE1"
"6605","207739_s_at","GAGE1"
"6606","208283_at","GAGE1"
"6607","208235_x_at","GAGE1"
"6608","205808_at","ASPH"
"6609","209135_at","ASPH"
"6610","207284_s_at","ASPH"
"6611","206897_at","PAGE1"
"6612","205564_at","PAGE4"
"6613","207216_at","TNFSF8"
"6614","206704_at","CLCN5"
"6615","205257_s_at","AMPH"
"6616","207019_s_at","AKAP4"
"6617","205452_at","PIGB"
"6618","208141_s_at","DOHH"
"6619","205051_s_at","KIT"
"6620","209414_at","FZR1"
"6621","209416_s_at","FZR1"
"6622","209415_at","FZR1"
"6623","205541_s_at","GSPT2"
"6624","204980_at","CLOCK"
"6625","209011_at","TRIO"
"6626","209013_x_at","TRIO"
"6627","209010_s_at","TRIO"
"6628","209012_at","TRIO"
"6629","208178_x_at","TRIO"
"6630","207250_at","SIX6"
"6631","209014_at","MAGED1"
"6632","205817_at","SIX1"
"6633","207450_s_at","POU6F2"
"6634","209113_s_at","HMG20B"
"6635","206023_at","NMU"
"6636","207554_x_at","TBXA2R"
"6637","207555_s_at","TBXA2R"
"6638","207318_s_at","CDK13"
"6639","207319_s_at","CDK13"
"6640","205818_at","BRINP1"
"6641","206099_at","PRKCH"
"6642","208650_s_at","CD24P2"
"6643","206099_at","AL355916.3"
"6644","207286_at","CEP135"
"6645","206003_at","CEP135"
"6646","205146_x_at","APBA3"
"6647","209008_x_at","KRT8P3"
"6648","205201_at","GLI3"
"6649","205443_at","SNAPC1"
"6650","206626_x_at","SSX8P"
"6651","205688_at","TFAP4"
"6652","207493_x_at","SSX2"
"6653","206267_s_at","MATK"
"6654","205854_at","TULP3"
"6655","207493_x_at","SSX2B"
"6656","208986_at","TCF12"
"6657","206280_at","CDH18"
"6658","205665_at","TSPAN9"
"6659","207386_at","CYP7B1"
"6660","207772_s_at","PRMT8"
"6661","206497_at","COA1"
"6662","208803_s_at","SRP72"
"6663","208801_at","SRP72"
"6664","208800_at","SRP72"
"6665","208095_s_at","SRP72"
"6666","208802_at","SRP72"
"6667","208263_at","SRP72"
"6668","207149_at","CDH12"
"6669","205599_at","TRAF1"
"6670","205500_at","C5"
"6671","205642_at","CNTRL"
"6672","208417_at","FGF6"
"6673","206310_at","SPINK2"
"6674","208534_s_at","AC017116.2"
"6675","207729_at","CDH9"
"6676","208534_s_at","RASA4CP"
"6677","208541_x_at","TFAM"
"6678","208598_s_at","HUWE1"
"6679","208599_at","HUWE1"
"6680","205629_s_at","CRH"
"6681","205630_at","CRH"
"6682","205533_s_at","CDH6"
"6683","205532_s_at","CDH6"
"6684","205736_at","PGAM2"
"6685","207344_at","AKAP3"
"6686","208969_at","NDUFA9"
"6687","205616_at","GALNT8"
"6688","206385_s_at","ANK3"
"6689","207950_s_at","ANK3"
"6690","207016_s_at","ALDH1A2"
"6691","207015_s_at","ALDH1A2"
"6692","208479_at","KCNA1"
"6693","208301_at","AC007292.2"
"6694","206762_at","KCNA5"
"6695","206706_at","NTF3"
"6696","205568_at","AQP9"
"6697","206606_at","LIPC"
"6698","205010_at","GNL3L"
"6699","208511_at","PTTG3P"
"6700","205128_x_at","PTGS1"
"6701","205127_at","PTGS1"
"6702","208682_s_at","MAGED2"
"6703","207800_at","AKAP5"
"6704","208682_s_at","SNORA11"
"6705","205092_x_at","ZBTB1"
"6706","205028_at","TRO"
"6707","208416_s_at","SPTB"
"6708","206098_at","ZBTB6"
"6709","206448_at","ZNF365"
"6710","207643_s_at","TNFRSF1A"
"6711","207537_at","PFKFB1"
"6712","207602_at","TMPRSS11D"
"6713","209088_s_at","UBN1"
"6714","207253_s_at","UBN1"
"6715","209308_s_at","BNIP2"
"6716","209332_s_at","MAX"
"6717","209331_s_at","MAX"
"6718","208403_x_at","MAX"
"6719","206140_at","LHX2"
"6720","208513_at","FOXB1"
"6721","207245_at","UGT2B17"
"6722","205090_s_at","NAGPA"
"6723","208055_s_at","HERC4"
"6724","208054_at","HERC4"
"6725","205540_s_at","RRAGB"
"6726","207742_s_at","NR6A1"
"6727","206150_at","CD27"
"6728","206150_at","TAPBPL"
"6729","206505_at","UGT2B4"
"6730","207101_at","VAMP1"
"6731","207100_s_at","VAMP1"
"6732","208628_s_at","YBX1P1"
"6733","208627_s_at","YBX1P1"
"6734","207958_at","UGT2A1"
"6735","207958_at","UGT2A2"
"6736","207601_at","SULT1B1"
"6737","207841_at","SPIN2A"
"6738","208350_at","CSN1S1"
"6739","206174_s_at","PPP6C"
"6740","208990_s_at","HNRNPH3"
"6741","207127_s_at","HNRNPH3"
"6742","208899_x_at","ATP6V1D"
"6743","208898_at","ATP6V1D"
"6744","205732_s_at","NCOA2"
"6745","205731_s_at","NCOA2"
"6746","207803_s_at","CSN3"
"6747","207441_at","SMR3B"
"6748","208004_at","OPRPN"
"6749","206346_at","PRLR"
"6750","208117_s_at","LAS1L"
"6751","208487_at","LMX1B"
"6752","205798_at","IL7R"
"6753","206527_at","ABAT"
"6754","209017_s_at","LONP1"
"6755","208152_s_at","DDX21"
"6756","208637_x_at","ACTN1"
"6757","208636_at","ACTN1"
"6758","208349_at","TRPA1"
"6759","206868_at","STARD8"
"6760","208123_at","KCNB2"
"6761","208172_s_at","KCNB2"
"6762","206299_at","FAM155B"
"6763","205326_at","RAMP3"
"6764","206217_at","EDA"
"6765","204965_at","GC"
"6766","207136_at","ARR3"
"6767","205302_at","IGFBP1"
"6768","208272_at","RANBP3"
"6769","207750_at","EPS15P1"
"6770","206534_at","GRIN2A"
"6771","207732_s_at","DLG3"
"6772","207108_s_at","NIPBL"
"6773","206117_at","TPM1"
"6774","206116_s_at","TPM1"
"6775","207965_at","NEUROG3"
"6776","204975_at","EMP2"
"6777","208031_s_at","RFX2"
"6778","205451_at","FOXO4"
"6779","208535_x_at","COL13A1"
"6780","206550_s_at","NUP155"
"6781","205101_at","CIITA"
"6782","207185_at","SLC10A1"
"6783","206584_at","LY96"
"6784","204973_at","GJB1"
"6785","207559_s_at","ZMYM3"
"6786","206840_at","AFM"
"6787","206336_at","CXCL6"
"6788","207938_at","PI15"
"6789","207815_at","PF4V1"
"6790","206390_x_at","PF4"
"6791","207665_at","ADAM21"
"6792","207850_at","CXCL3"
"6793","207423_s_at","ADAM20"
"6794","208698_s_at","NONO"
"6795","208346_at","PPBPP2"
"6796","207079_s_at","MED6"
"6797","207078_at","MED6"
"6798","205876_at","LIFR"
"6799","207736_s_at","TNP2"
"6800","206358_at","PRM1"
"6801","207456_at","HNF4G"
"6802","207078_at","AL357153.3"
"6803","207079_s_at","AL357153.3"
"6804","207021_at","ZPBP"
"6805","205767_at","EREG"
"6806","205239_at","AREG"
"6807","205729_at","OSMR"
"6808","207326_at","BTC"
"6809","205039_s_at","IKZF1"
"6810","205308_at","ZC2HC1A"
"6811","206693_at","IL7"
"6812","208729_x_at","MIR6891"
"6813","209140_x_at","MIR6891"
"6814","206907_at","TNFSF9"
"6815","206508_at","CD70"
"6816","207907_at","TNFSF14"
"6817","207073_at","CDKL2"
"6818","205285_s_at","FYB1"
"6819","206324_s_at","DAPK2"
"6820","205311_at","DDC"
"6821","208841_s_at","G3BP2"
"6822","206383_s_at","G3BP2"
"6823","208840_s_at","G3BP2"
"6824","206641_at","TNFRSF17"
"6825","206727_at","C9"
"6826","208411_x_at","PPEF2"
"6827","209410_s_at","GRB10"
"6828","209409_at","GRB10"
"6829","207564_x_at","OGT"
"6830","209240_at","OGT"
"6831","207563_s_at","OGT"
"6832","208770_s_at","EIF4EBP2"
"6833","208769_at","EIF4EBP2"
"6834","209029_at","COPS7A"
"6835","207823_s_at","AIF1"
"6836","207681_at","CXCR3"
"6837","206219_s_at","VAV1"
"6838","208381_s_at","SGPL1"
"6839","206826_at","PMP2"
"6840","207144_s_at","CITED1"
"6841","207144_s_at","AL133500.1"
"6842","209391_at","DPM2"
"6843","207111_at","ADGRE1"
"6844","207222_at","AC136443.1"
"6845","205498_at","GHR"
"6846","207851_s_at","INSR"
"6847","206486_at","LAG3"
"6848","205516_x_at","CIZ1"
"6849","205056_s_at","GPR162"
"6850","206227_at","CILP"
"6851","208252_s_at","CHST3"
"6852","205450_at","PHKA1"
"6853","206047_at","GNB3"
"6854","208655_at","CCNI"
"6855","208656_s_at","CCNI"
"6856","205822_s_at","HMGCS1"
"6857","207782_s_at","PSEN1"
"6858","205242_at","CXCL13"
"6859","206031_s_at","USP5"
"6860","209064_x_at","PAIP1"
"6861","209063_x_at","PAIP1"
"6862","208051_s_at","PAIP1"
"6863","206076_at","LRRC23"
"6864","209369_at","ANXA3"
"6865","205949_at","CA1"
"6866","205950_s_at","CA1"
"6867","208091_s_at","VOPP1"
"6868","207543_s_at","P4HA1"
"6869","206081_at","SLC24A1"
"6870","208739_x_at","Metazoa_SRP"
"6871","208739_x_at","SUMO2P3"
"6872","205048_s_at","PSPHP1"
"6873","209367_at","STXBP2"
"6874","208871_at","ATN1"
"6875","209073_s_at","NUMB"
"6876","207545_s_at","NUMB"
"6877","205048_s_at","PSPH"
"6878","205194_at","PSPH"
"6879","207917_at","AC016394.1"
"6880","207917_at","SNORA11F"
"6881","206687_s_at","PTPN6"
"6882","209301_at","CA2"
"6883","206760_s_at","FCER2"
"6884","206759_at","FCER2"
"6885","208378_x_at","FGF5"
"6886","208244_at","BMP3"
"6887","207505_at","PRKG2"
"6888","209233_at","EMG1"
"6889","207278_s_at","AC008763.4"
"6890","207278_s_at","CD209"
"6891","207277_at","CD209"
"6892","208747_s_at","C1S"
"6893","208661_s_at","TTC3P1"
"6894","207312_at","PHKG1"
"6895","209330_s_at","HNRNPD"
"6896","208860_s_at","ATRX"
"6897","208861_s_at","ATRX"
"6898","208859_s_at","ATRX"
"6899","207995_s_at","CLEC4M"
"6900","207013_s_at","MMP16"
"6901","207012_at","MMP16"
"6902","208167_s_at","MMP16"
"6903","208166_at","MMP16"
"6904","209068_at","HNRNPDL"
"6905","209067_s_at","HNRNPDL"
"6906","206104_at","ISL1"
"6907","208101_s_at","URM1"
"6908","207069_s_at","SMAD6"
"6909","205396_at","SMAD3"
"6910","205397_x_at","SMAD3"
"6911","205398_s_at","SMAD3"
"6912","205197_s_at","ATP7A"
"6913","205198_s_at","ATP7A"
"6914","205032_at","ITGA2"
"6915","206960_at","LPAR4"
"6916","205625_s_at","CALB1"
"6917","205626_s_at","CALB1"
"6918","205739_x_at","ZNF107"
"6919","205757_at","ENTPD5"
"6920","207694_at","POU3F4"
"6921","207605_x_at","ZNF117"
"6922","207117_at","ZNF117"
"6923","205479_s_at","PLAU"
"6924","204948_s_at","FST"
"6925","207345_at","FST"
"6926","209303_at","NDUFS4"
"6927","207781_s_at","ZNF711"
"6928","206920_s_at","GLE1"
"6929","206921_at","GLE1"
"6930","206375_s_at","HSPB3"
"6931","207099_s_at","CHM"
"6932","208394_x_at","ESM1"
"6933","206666_at","GZMK"
"6934","208611_s_at","SPTAN1"
"6935","205488_at","GZMA"
"6936","208903_at","RPS28"
"6937","208902_s_at","RPS28"
"6938","208904_s_at","RPS28"
"6939","208366_at","PCDH11X"
"6940","205528_s_at","RUNX1T1"
"6941","205529_s_at","RUNX1T1"
"6942","207158_at","APOBEC1"
"6943","207040_s_at","ST13P18"
"6944","209147_s_at","PLPP1"
"6945","205603_s_at","DIAPH2"
"6946","205726_at","DIAPH2"
"6947","209108_at","TSPAN6"
"6948","209109_s_at","TSPAN6"
"6949","205499_at","SRPX2"
"6950","206418_at","NOX1"
"6951","207380_x_at","NOX1"
"6952","207217_s_at","NOX1"
"6953","205238_at","TRMT2B"
"6954","207590_s_at","CENPI"
"6955","209300_s_at","NECAP1"
"6956","207648_at","DRP2"
"6957","205217_at","TIMM8A"
"6958","205504_at","BTK"
"6959","206472_s_at","TLE3"
"6960","207417_s_at","ZNF559-ZNF177"
"6961","205260_s_at","ACYP1"
"6962","207799_x_at","ARMCX4"
"6963","207417_s_at","ZNF177"
"6964","205964_at","ZNF426"
"6965","205096_at","POM121"
"6966","205613_at","SYT17"
"6967","206037_at","AL441992.2"
"6968","206037_at","KYAT1"
"6969","207387_s_at","GK4P"
"6970","209189_at","FOS"
"6971","205709_s_at","CDS1"
"6972","206093_x_at","TNXA"
"6973","205965_at","BATF"
"6974","204961_s_at","NCF1B"
"6975","208099_x_at","TTLL5"
"6976","206763_at","FKBP6"
"6977","205347_s_at","TMSB15A"
"6978","207639_at","FZD9"
"6979","208445_s_at","BAZ1B"
"6980","208887_at","EIF3G"
"6981","205843_x_at","CRAT"
"6982","206452_x_at","PTPA"
"6983","208874_x_at","PTPA"
"6984","205034_at","CCNE2"
"6985","207330_at","PZP"
"6986","205833_s_at","PART1"
"6987","205834_s_at","PART1"
"6988","207628_s_at","BUD23"
"6989","205833_s_at","AC109486.2"
"6990","205833_s_at","AC109486.3"
"6991","208473_s_at","GP2"
"6992","206681_x_at","GP2"
"6993","208149_x_at","AC009533.1"
"6994","208149_x_at","DDX12P"
"6995","208469_s_at","PPT2-EGFL8"
"6996","205162_at","ERCC8"
"6997","206386_at","SERPINA7"
"6998","206716_at","UMOD"
"6999","209065_at","UQCRB"
"7000","209066_x_at","UQCRB"
"7001","205849_s_at","UQCRB"
"7002","207388_s_at","PTGES"
"7003","208388_at","NR2E3"
"7004","208385_at","NR2E3"
"7005","208447_s_at","PRPS1"
"7006","209111_at","MIR6833"
"7007","208537_at","S1PR2"
"7008","207001_x_at","TSC22D3"
"7009","208763_s_at","TSC22D3"
"7010","208454_s_at","CPQ"
"7011","208384_s_at","MID2"
"7012","205942_s_at","ACSM3"
"7013","207194_s_at","ICAM4"
"7014","208029_s_at","LAPTM4B"
"7015","208767_s_at","LAPTM4B"
"7016","205621_at","ALKBH1"
"7017","206906_at","ICAM5"
"7018","206555_s_at","THUMPD1"
"7019","207076_s_at","ASS1"
"7020","204949_at","ICAM3"
"7021","208868_s_at","GABARAPL1"
"7022","208869_s_at","GABARAPL1"
"7023","205546_s_at","TYK2"
"7024","208107_s_at","REXO5"
"7025","209273_s_at","ISCA1P1"
"7026","207795_s_at","KLRD1"
"7027","207796_x_at","KLRD1"
"7028","205795_at","NRXN3"
"7029","205821_at","KLRC4-KLRK1"
"7030","205821_at","KLRK1"
"7031","207723_s_at","AC068775.1"
"7032","207723_s_at","KLRC3"
"7033","206785_s_at","KLRC2"
"7034","205489_at","CRYM"
"7035","206785_s_at","KLRC1"
"7036","206521_s_at","GTF2A1"
"7037","205321_at","EIF2S3B"
"7038","207229_at","KLRA1P"
"7039","207421_at","AC005632.2"
"7040","207403_at","AL035425.2"
"7041","207403_at","IRS4"
"7042","208053_at","GUCY2F"
"7043","205272_s_at","AC018630.4"
"7044","204976_s_at","AMMECR1"
"7045","207752_x_at","PRB2"
"7046","208930_s_at","ILF3"
"7047","208931_s_at","ILF3"
"7048","207157_s_at","GNG5P2"
"7049","205585_at","ETV6"
"7050","206286_s_at","TDGF1P3"
"7051","205671_s_at","AL669918.1"
"7052","206946_at","HCN4"
"7053","207183_at","GPR19"
"7054","209112_at","CDKN1B"
"7055","205584_at","ALG13"
"7056","205583_s_at","ALG13"
"7057","205438_at","PTPN21"
"7058","206503_x_at","PML"
"7059","207728_at","ATF7IP"
"7060","207307_at","HTR2C"
"7061","206172_at","IL13RA2"
"7062","205464_at","SCNN1B"
"7063","206312_at","GUCY2C"
"7064","208915_s_at","GGA2"
"7065","208914_at","GGA2"
"7066","208913_at","GGA2"
"7067","206206_at","CD180"
"7068","208739_x_at","SUMO2P21"
"7069","207293_s_at","AGTR2"
"7070","207294_at","AGTR2"
"7071","207220_at","ART4"
"7072","209390_at","TSC1"
"7073","207575_at","GOLGA6A"
"7074","206841_at","PDE6H"
"7075","205687_at","UBFD1"
"7076","208372_s_at","LIMK1"
"7077","208794_s_at","SMARCA4"
"7078","208793_x_at","SMARCA4"
"7079","207195_at","CNTN6"
"7080","209232_s_at","DCTN5"
"7081","209231_s_at","DCTN5"
"7082","208121_s_at","PTPRO"
"7083","206621_s_at","EIF4H"
"7084","206149_at","CHP2"
"7085","207957_s_at","PRKCB"
"7086","206384_at","CACNG3"
"7087","205021_s_at","FOXN3"
"7088","205022_s_at","FOXN3"
"7089","205178_s_at","RBBP6"
"7090","208884_s_at","UBR5"
"7091","208883_at","UBR5"
"7092","208882_s_at","UBR5"
"7093","207902_at","IL5RA"
"7094","205004_at","NKRF"
"7095","208501_at","GFI1B"
"7096","206559_x_at","EEF1A1P5"
"7097","208695_s_at","RPL39"
"7098","208695_s_at","SNORA69"
"7099","205910_s_at","CEL"
"7100","207412_x_at","CELP"
"7101","209050_s_at","RALGDS"
"7102","209051_s_at","RALGDS"
"7103","205749_at","CYP1A1"
"7104","207609_s_at","CYP1A2"
"7105","207608_x_at","CYP1A2"
"7106","206554_x_at","SETMAR"
"7107","206784_at","AQP8"
"7108","208668_x_at","HMGN2P3"
"7109","209050_s_at","AL162417.1"
"7110","209051_s_at","AL162417.1"
"7111","208032_s_at","GRIA3"
"7112","206730_at","GRIA3"
"7113","206137_at","RIMS2"
"7114","209134_s_at","RIMS2"
"7115","208755_x_at","H3P47"
"7116","206536_s_at","XIAP"
"7117","209023_s_at","STAG2"
"7118","207983_s_at","STAG2"
"7119","209022_at","STAG2"
"7120","209134_s_at","AC090686.1"
"7121","206065_s_at","DPYS"
"7122","207751_at","AP003471.1"
"7123","207473_at","MLN"
"7124","204961_s_at","NCF1"
"7125","208336_s_at","TECRP1"
"7126","206389_s_at","PDE3A"
"7127","209275_s_at","AC138894.1"
"7128","206629_at","ADAMTSL2"
"7129","208905_at","CYCSP55"
"7130","206074_s_at","HMGA1"
"7131","206354_at","SLCO1B3"
"7132","206450_at","DBH"
"7133","209275_s_at","CLN3"
"7134","207575_at","GOLGA6C"
"7135","207889_at","SARDH"
"7136","207575_at","GOLGA6D"
"7137","204961_s_at","NCF1C"
"7138","206441_s_at","COMMD4"
"7139","209132_s_at","COMMD4"
"7140","209133_s_at","COMMD4"
"7141","205608_s_at","ANGPT1"
"7142","205609_at","ANGPT1"
"7143","208175_s_at","DMP1"
"7144","207308_at","SLCO1A2"
"7145","207370_at","IBSP"
