ID_REF,3-28-PD1_rep1,3-28-PD1_rep2,3-28-PD1_rep3,3-28-PD1_rep4,3-28-PD1_rep5,3-28-PD1_rep6,3-28_rep1,3-28_rep3,3-28_rep4,3-28_rep5,3-28_rep6
205958_x_at,9.404548123,7.469985018,11.45111884,8.591220346,7.934984894,8.004750757,9.003338152,8.013618618,9.865507164,8.591220346,8.583296974
205959_at,13.57268233,12.42609635,15.97397977,12.49244973,13.57268233,13.10602676,13.15893378,15.58285202,13.57268233,13.57268233,16.62278168
205960_at,11.01675792,11.92304411,11.19199616,11.15842251,11.43279804,11.0050975,10.81030478,11.96854926,11.52728024,10.62343721,10.68437072
205961_s_at,536.824066,617.1220559,618.6646707,667.9029933,639.2360936,628.7446209,612.2267942,592.6056524,648.652703,630.2646685,684.5101241
205962_at,9.932637626,10.00851583,9.026927085,10.33383903,10.21917333,11.13081668,12.07699112,9.658198623,10.21917333,10.85625168,10.93304925
205963_s_at,341.3741385,349.6022862,385.4464866,368.7243762,353.6865755,354.231487,401.4005856,412.2445563,382.4989086,401.3206311,370.8498485
205964_at,44.51935252,48.08063932,44.47934137,49.19032673,42.511105,50.96485978,49.16208606,49.4934619,47.92611132,49.16208606,49.16208606
205965_at,415.1164666,380.4826043,363.8624854,399.0362112,363.8624854,363.0619922,344.8435394,329.3254621,365.0824875,352.7738577,355.3464833
205966_at,18.51196243,17.37663075,18.06150734,15.1841685,15.1841685,15.65283022,13.02552889,13.19770821,14.6764344,13.3390437,15.1841685
205967_at,2191.490907,2118.236106,2105.051855,1874.742544,2012.91776,2113.0738,2043.04008,1845.111535,2022.693417,1883.334376,1873.009372
205968_at,85.11232851,74.65683719,86.98700409,80.37383497,77.75724282,80.37383497,87.25559428,86.00902108,73.45776834,78.11153385,83.88199275
205969_at,9.387457525,11.24100559,9.912988137,10.46097291,11.50514091,10.69080573,10.63153314,10.788538,9.902604341,12.23649474,11.99216256
205970_at,22.62993929,19.94120833,20.49585625,20.49585625,19.72487408,21.01657527,20.49585625,19.88140151,20.63254725,20.59991059,18.62949841
205971_s_at,10.80607512,11.0129457,12.95466161,12.25106797,11.03554578,10.97160465,11.27190127,11.1988735,11.0129457,10.15726712,11.08073278
