"ID_REF"	"GSM958123"	"GSM958124"	"GSM958125"	"GSM958126"	"GSM958127"	"GSM958128"	"GSM958129"	"GSM958130"
"1420176_x_at"	7.925891	8.030675	7.985548	7.92856	8.062646	7.81413	7.97121	8.20499
"1420177_at"	5.627192	5.538146	5.415177	5.571309	6.134737	5.687594	5.751463	5.448174
"1420179_at"	4.847517	4.860837	4.847517	4.72601	5.005657	4.716774	5.08812	4.689051
"1420180_at"	4.887448	4.870978	4.855259	4.880304	4.901895	4.68026	4.969364	4.786975
"1420183_at"	5.982599	5.883973	5.954999	5.834837	6.130094	5.870341	6.021133	6.094678
"1420184_at"	5.836698	6.025448	5.871547	5.815044	5.845363	5.845363	5.90315	6.097275
"1420185_at"	4.449359	4.156989	4.242523	4.177259	4.182943	4.065436	4.180619	4.123173
"1420186_at"	4.168595	4.352258	4.204387	4.089014	4.22451	4.182867	4.180489	4.051507
"1420187_at"	5.028773	4.624693	4.880904	4.82939	4.894792	4.875211	4.834429	4.995257
"1420189_at"	4.363235	4.352051	4.383881	4.49088	4.655548	4.307163	4.562144	4.368881
"1420191_s_at"	5.565434	5.997031	5.904623	5.980068	5.689163	6.099428	5.947605	5.755327
"1420192_at"	4.783319	5.110998	5.222392	4.851146	5.009784	5.108828	5.171371	4.990845
"1420193_at"	5.033914	5.037259	5.012325	5.102966	5.086006	5.024651	5.200836	5.166948
"1420194_at"	4.497389	4.38781	4.353856	4.58034	4.281242	4.39946	4.481118	4.336955
"1420195_at"	6.22563	6.056049	6.365265	6.341315	6.455901	6.115691	6.417396	6.370804
"1420196_s_at"	9.439672	9.456161	9.43461	9.482415	9.455962	9.443089	9.344031	9.463131
"1420197_at"	7.356047	7.469013	7.557207	7.346963	7.402062	7.457944	7.635945	7.322658
"1420198_at"	5.598705	5.747451	6.00074	5.846462	5.677188	5.643301	6.184254	5.687244
"1420200_at"	4.098219	4.077139	3.991658	4.0226	4.118042	4.007514	4.111296	4.164993
"1420201_at"	4.241377	4.336486	4.351662	4.50495	4.41711	4.258451	4.499452	4.261029
"1420202_at"	4.531049	4.476047	4.444472	4.54193	4.434103	4.463383	4.684693	4.657369
"1420203_at"	3.923703	4.051024	3.921389	3.919205	3.850681	3.958691	3.890291	3.83496
"1420204_at"	5.463475	5.535102	5.51483	5.513302	5.527786	5.323284	5.584284	5.607744
"1420210_at"	6.443731	6.308431	6.211915	6.234636	6.447936	6.035602	6.643389	6.467978
"1420211_at"	5.138376	5.317679	5.403974	5.382803	5.442448	5.381453	5.304739	5.603314
"1420217_x_at"	6.784764	7.016532	7.145127	7.037065	7.132185	6.49791	7.408213	7.086488
"1420218_at"	6.01175	5.874714	5.956783	5.956783	5.962404	5.610879	6.213552	5.931222
"1420222_at"	5.604046	5.605502	5.5638	5.347338	5.551708	5.561292	5.532501	5.688324
"1420223_at"	4.684073	4.707026	4.85383	4.77349	4.90454	4.733393	4.817164	4.842775
"1420224_at"	4.733393	4.883332	4.878983	4.877357	4.865248	4.913511	4.843712	4.839469
"1420225_at"	4.33708	4.283926	4.15156	3.929763	4.028403	4.048447	4.237017	4.053731
"1420226_x_at"	4.359616	4.317099	4.530086	4.438162	4.59895	4.467171	4.76238	4.477801
"1420227_at"	4.481391	4.404208	4.548572	4.561931	4.644388	4.489672	4.434103	4.608856
"1420228_at"	7.138844	7.052992	6.888217	6.814194	7.196664	6.892712	7.066616	6.93743
"1420229_at"	4.702448	4.670282	4.846069	4.665549	4.974487	4.450499	4.734142	4.939543
"1420230_at"	5.028331	4.989793	4.898728	5.048772	5.192186	4.901888	5.166666	4.918614
"1420231_at"	5.551318	5.518139	5.425348	5.488098	5.537091	5.471715	5.637853	5.682393
"1420232_at"	5.19806	5.028723	5.34739	5.23949	5.359611	5.121776	5.597489	5.402713
"1420234_at"	4.851872	4.935414	4.819884	4.860179	4.812826	4.706828	4.840161	4.97622
"1420235_at"	4.311039	4.427648	4.405031	4.37693	4.4478	4.314886	4.573329	4.407166
"1420236_at"	5.206759	5.174788	5.495489	5.30922	5.253824	5.273836	5.41732	5.440455
"1420237_at"	5.844156	5.838696	5.998303	5.727674	5.852501	5.866872	5.895197	5.885097
"1420240_at"	5.05998	4.661645	4.752213	4.613696	5.010446	4.796248	5.110801	4.84054
"1420241_at"	6.97894	6.896805	6.926486	6.925848	6.955093	6.905322	6.971463	6.965679
"1420243_at"	4.749776	4.698837	4.788204	4.756296	4.65574	4.800655	4.739458	4.911086
"1420244_at"	3.870283	3.930647	3.768268	3.849643	4.007062	3.882102	3.880141	4.029619
"1420246_at"	4.93913	5.049902	5.028217	5.004666	5.037888	5.061047	5.200758	5.173985
"1420247_at"	6.452121	6.520521	6.591969	6.661609	6.557534	6.516355	6.630338	6.810437
"1420248_at"	4.521183	4.710466	4.501858	4.478331	4.677703	4.576025	4.707605	4.582444
"1420249_s_at"	4.77137	4.818302	4.881143	4.73664	4.871746	4.966683	4.711528	4.807459
"1420250_at"	4.777494	4.759781	4.759781	4.760556	4.799276	4.659356	4.957128	4.832604
"1420251_at"	4.607371	4.618066	4.803899	4.48749	4.69087	4.586129	4.615706	4.6264
"1420252_at"	5.652376	5.610261	5.742826	5.687673	5.880195	5.418018	5.90346	5.745234
"1420253_at"	7.846187	7.855501	7.906001	7.83139	7.841829	7.983885	8.042687	8.179629
"1420254_at"	4.324906	4.157463	3.877024	3.956913	4.254342	3.995227	4.180415	4.158933
"1420255_at"	4.054326	4.009473	4.032892	4.016819	4.062445	3.987624	4.022028	3.933751
"1420256_x_at"	6.046638	5.895868	6.105844	5.917964	6.185202	5.83065	6.199894	5.944067
"1420257_at"	6.365397	6.00424	6.202956	6.156388	6.380503	6.030262	6.050137	6.295023
"1420258_at"	5.068495	5.146294	5.073135	5.181223	5.059226	5.036798	5.093024	5.063867
"1420259_at"	4.708668	4.799855	5.027127	4.65458	4.892247	4.661328	4.934752	4.846061
"1420260_at"	6.753024	6.577409	6.957649	6.747561	6.847857	6.712602	6.918222	7.200979
"1420261_at"	5.209672	5.194919	5.061216	5.270835	5.274729	5.226422	5.263712	5.355169
"1420262_at"	4.909332	4.57028	4.728809	4.849637	4.968664	4.834954	4.80479	4.799936
"1420263_at"	5.038342	4.98895	4.90668	5.040974	5.022166	5.037888	5.205083	5.065698
"1420264_at"	5.800933	5.810701	5.964809	6.005678	5.94967	5.739775	5.989005	6.052268
"1420267_at"	4.666478	4.617569	4.481551	4.91006	4.829541	4.63096	4.722757	4.543106
"1420268_x_at"	4.405519	4.524156	4.352581	4.316212	4.441858	4.323737	4.49438	4.245403
"1420269_at"	5.843605	6.079783	6.196574	6.173406	5.93584	5.822173	6.199529	6.154045
"1420270_at"	7.088857	7.230478	7.587118	7.387089	7.40372	7.312758	7.600326	7.485199
"1420272_at"	9.616165	10.118745	9.921434	10.111438	9.838933	10.007832	10.069824	10.225835
"1420273_x_at"	9.674168	10.102873	10.041118	10.110534	9.780033	10.043179	10.090397	10.124898
"1420274_at"	4.081766	4.037126	4.161487	4.067528	4.053542	4.041183	4.006299	4.180763
"1420275_at"	7.351285	7.414307	7.591604	7.550784	7.541079	7.514554	7.534508	7.761002
"1420278_at"	4.916346	4.889375	5.079986	5.173985	5.144696	4.940255	5.229103	5.374168
"1420279_at"	4.886533	4.850338	4.975069	4.766638	5.049411	4.788175	5.043811	4.997093
"1420280_x_at"	3.929763	4.112929	4.159342	4.018224	4.032952	3.748358	4.114153	4.090777
"1420281_at"	3.673966	3.741725	3.79128	3.86461	3.874505	3.882862	3.995902	3.773667
"1420282_s_at"	4.996849	5.150656	5.08678	5.234701	5.189165	5.115624	5.260184	5.203769
"1420284_at"	9.574712	9.484787	9.70484	9.670978	9.527624	9.583304	9.712566	9.646783
"1420285_at"	4.73314	4.768319	4.887039	4.720103	4.833921	4.821321	4.667802	4.688051
"1420286_at"	6.37572	6.424021	6.406164	6.486346	6.370303	6.384256	6.537061	6.639194
"1420287_at"	7.941059	7.686916	7.991935	7.822859	7.870776	7.723276	8.018352	7.868813
"1420288_at"	4.614578	4.599508	4.700263	4.687754	4.613257	4.569749	4.645439	4.84926
"1420289_at"	4.816922	4.755926	4.783734	4.820216	5.020645	4.874667	5.057278	4.892975
"1420290_at"	4.188736	4.236589	4.181664	4.142347	4.31618	4.13244	4.260359	4.235605
"1420291_at"	4.089171	4.128619	4.284391	4.108704	4.099736	4.095402	4.099854	4.229517
"1420292_x_at"	4.446818	4.404826	4.371805	4.334016	4.399774	4.258356	4.504487	4.376301
"1420295_x_at"	9.651129	9.744113	9.814886	9.787776	9.805457	9.634019	9.873615	9.924952
"1420296_at"	6.945489	6.996063	7.072053	6.997966	6.980306	7.022291	7.086282	7.179938
"1420297_at"	4.176423	4.231078	4.199515	4.160527	4.183671	4.217699	4.404063	4.136376
"1420298_at"	4.598781	4.261084	4.383249	4.400167	4.298133	4.411751	4.397776	4.504882
"1420301_at"	5.14231	5.152106	5.104712	5.059489	5.179592	5.078802	5.129094	4.900458
"1420302_at"	5.74936	5.446137	5.906439	5.838267	5.873157	5.772239	5.834824	6.071477
"1420303_x_at"	6.482596	6.176804	6.614545	6.482626	6.595428	6.236648	6.719351	6.685449
"1420304_x_at"	10.256845	10.255455	10.430199	10.22206	10.376909	10.303051	10.254053	10.447071
"1420305_at"	4.392231	4.435965	4.301702	4.296069	4.261372	4.302294	4.290236	4.211483
"1420307_a_at"	8.875	8.70787	8.722282	8.708872	8.805545	8.680461	8.719886	8.742006
"1420318_at"	5.883112	5.876347	5.973252	6.158532	6.024272	6.031035	6.155698	6.236466
"1420325_at"	5.693431	5.859705	5.894008	5.669178	5.901199	5.792145	5.910912	5.766289
"1420326_s_at"	9.383529	9.17943	9.182474	9.09093	9.298461	9.172979	9.085525	9.20433
"1420328_at"	6.836804	6.867083	7.172056	6.837627	7.377091	6.871879	7.046273	7.086002
"1420329_at"	8.80295	8.734162	8.668144	8.722678	8.890514	8.685296	8.709839	8.60345
"1420330_at"	4.484629	4.921424	4.780777	4.783566	4.691288	4.911655	4.848263	5.043551
"1420331_at"	6.352816	6.256474	6.329598	6.365194	6.388411	6.275988	6.447837	6.427998
"1420332_x_at"	5.784587	5.687462	5.724282	5.76147	5.834739	5.70269	5.949319	5.890451
"1420333_at"	6.343529	6.230713	6.306176	6.306649	6.226374	6.241495	6.229002	6.298265
"1420334_at"	6.139523	5.973522	6.206197	5.935181	6.078675	5.761602	6.044384	6.00269
"1420335_at"	4.655551	4.57557	4.842048	4.860614	5.047377	4.548579	4.565101	4.736973
"1420336_at"	7.382943	7.322668	7.347686	7.116125	7.16111	7.287493	7.266518	7.273037
"1420337_at"	4.593731	4.868404	4.675815	4.696117	4.966866	4.847303	4.859234	4.721201
"1420338_at"	6.096342	6.180273	6.146454	6.086687	6.437678	5.960931	6.012831	6.358654
"1420339_at"	7.035679	7.000521	6.88319	7.024657	7.168832	6.86873	7.056022	7.123811
"1420340_at"	4.881045	4.975402	4.888175	5.007968	5.076043	4.90725	5.049516	5.002425
"1420341_at"	5.082861	4.982131	5.114502	5.014662	5.349149	5.081085	5.438727	5.146607
"1420342_at"	9.085776	8.905396	9.042246	9.050572	9.097667	9.200632	8.850309	8.984152
"1420343_at"	8.033679	11.307193	11.022134	11.928241	8.094005	11.386192	11.134859	11.837252
"1420344_x_at"	8.454785	11.509156	11.270329	12.168717	8.507858	11.591998	11.398026	12.128433
"1420345_at"	6.557223	6.609294	6.525368	6.62833	6.572672	6.660904	6.588793	6.580631
"1420346_at"	5.287079	5.072312	5.03371	4.949023	5.164782	4.86342	5.065473	5.213275
"1420347_at"	4.806897	4.633042	4.826442	4.611755	4.964326	4.613708	4.790458	4.900308
"1420348_at"	5.647815	5.62392	5.4242	5.464198	5.511465	5.679316	5.576357	5.435326
"1420349_at"	4.588465	4.71697	4.812021	4.67567	4.727096	4.484387	4.742845	4.75145
"1420350_at"	6.147242	6.380058	6.489642	6.508399	6.585448	6.294848	6.504562	6.633953
"1420351_at"	13.677011	13.589909	13.552749	13.49033	13.714598	13.497829	13.660743	13.476745
"1420352_at"	6.818293	6.694468	6.898764	6.667203	6.950693	6.650638	6.802624	6.92785
"1420353_at"	12.007142	11.466274	11.689335	11.278987	11.956177	11.510325	11.687594	11.178487
