"","affy_mouse430a_2","mgi_symbol"
"275","","Gm23759"
"276","","Mir6413"
"277","","Mir30c-2"
"278","","Gm25836"
"279","","Mir7076"
"280","","Mir688"
"281","","Snora61"
"282","","Gm24690"
"283","","Gm23612"
"284","","Gm23543"
"285","","Gm22639"
"286","","Gm24902"
"287","","Mir7687"
"288","","n-R5s179"
"289","","Gm44375"
"290","","Gm27792"
"291","","Gm25097"
"292","","Mir7015"
"293","","Gm25934"
"294","","Gm47297"
"295","","Gm24316"
"296","","Gm23448"
"297","","Gm25299"
"298","","n-R5s111"
"299","","Gm26326"
"300","","Gm23712"
"301","","Gm22565"
"302","","Gm26143"
"303","1452409_at","Snord23"
"304","1423803_s_at","Snord23"
"305","","Mir3470b"
"306","","Gm44413"
"307","","Gm27326"
"308","","Gm26439"
"309","","Mir6540"
"310","","Gm26232"
"311","","Gm26486"
"312","","Gm27580"
"313","","Gm22575"
"314","","Mir7011"
"315","","Gm24339"
"316","","Gm23346"
"317","","Gm27585"
"318","","Gm26157"
"319","","Gm25693"
"320","","Gm24828"
"321","","Gm27521"
"322","","Gm23622"
"323","","Gm24713"
"324","","Gm26466"
"325","","Gm22812"
"326","1420353_at","Mir6974"
"327","","Gm25878"
"328","1427598_at","Gm25074"
"329","","Gm22392"
"330","","Gm25081"
"331","","Mir465b-2"
"332","","Gm23251"
"333","1452400_a_at","Gm27543"
"334","","Gm22498"
"335","","Gm24457"
"336","","Gm23497"
"337","","Gm23065"
"338","","Gm26126"
"339","","Gm25442"
"340","","Gm24944"
"341","","Mir1933"
"342","","Gm24173"
"343","","Gm25829"
"344","","Gm24406"
"345","","Gm27511"
"346","","Gm22165"
"347","","Gm22615"
"348","","Gm26352"
"349","","Gm24145"
"350","","Gm25780"
"351","1428090_at","Gm22486"
"352","","Gm22051"
"353","","Mir6968"
"354","","Gm25455"
"355","","Gm27396"
"356","","Gm23504"
"357","","Gm23845"
"358","","Gm22967"
"359","1427580_a_at","DQ267100"
"360","","Gm23690"
"361","","Gm23554"
"362","","Gm23000"
"363","","Snora81"
"364","","Gm26235"
"365","","Gm25227"
"366","","Gm28010"
"367","","Gm25608"
"368","","Mir185"
"369","","n-R5s23"
"370","","Gm26284"
"371","","Gm25415"
"372","","Gm24656"
"373","","Mir344h-1"
"374","","Mir133a-1"
"375","","Gm24211"
"376","","Gm27306"
"377","","Gm26249"
"378","","Gm23556"
"379","","Gm23826"
"380","","Gm26027"
"381","","Mir762"
"382","","Mir3074-2"
"383","","Gm25262"
"384","1427598_at","Gm25471"
"385","","Gm24262"
"386","","Gm24136"
"387","","Gm22817"
"388","","Gm24708"
"389","","Mir3075"
"390","","Gm22063"
"391","","Mirlet7a-2"
"392","","Gm25772"
"393","","Gm22177"
"394","","Gm23802"
"395","","Gm27898"
"396","","Gm23899"
"397","1450183_a_at","Mir7031"
"398","","Gm24459"
"399","","Gm24894"
"400","","Gm25877"
"401","","Gm22925"
"402","","Gm26421"
"403","","Gm22208"
"404","","1600017P15Rik"
"405","","Mir466c-2"
"406","1453752_at","Gm24162"
"407","","Gm24728"
"408","","Gm25754"
"409","","Gm25102"
"410","","Gm25394"
"411","","Gm23453"
"412","","Gm27596"
"413","","Gm23922"
"414","","Gm23617"
"415","","Gm23330"
"416","","Mir6390"
"417","","Mir1893"
"418","","Gm23117"
"419","","Gm25857"
"420","","Gm22889"
"421","","Gm23900"
"422","","Gm23151"
"423","","Gm25793"
"424","","Gm23927"
"425","1435572_at","Gm26325"
"426","","Mir741"
"427","","Mir6537"
"428","1436677_at","Snord1b"
"429","","n-R5s128"
"430","","Gm25246"
"431","","Gm24356"
"432","","Gm23454"
"433","1452540_a_at","Gm44394"
"434","","Snord15a"
"435","","Gm22131"
"436","","Gm24377"
"437","","Gm23903"
"438","","Mir483"
"439","","Mir674"
"440","","Mir6995"
"441","","Gm27599"
"442","","Gm24028"
"443","","Gm26441"
"444","","Gm26490"
"445","","Gm23795"
"446","","Gm25228"
"447","","Gm22916"
"448","","Gm24212"
"449","","Gm24097"
"450","","Gm22897"
"451","","Gm25956"
"452","","Gm23973"
"453","","Gm25783"
"454","","Gm23095"
"455","","Mir6373"
"456","","Gm25410"
"457","","Mir124a-2"
"458","","Gm24423"
"459","","Gm25217"
"460","","Gm22997"
"461","","Gm25664"
"462","","Gm26286"
"463","","Gm24783"
"464","","Gm28006"
"465","","Mir465d"
"466","","Gm22056"
"467","","Gm25092"
"468","","Mir713"
"469","","Mir208b"
"470","","Mir6905"
"471","","Mir6934"
"472","","Gm22331"
"473","","Gm24396"
"474","","Gm23921"
"475","","Mir5616"
"476","","Mir342"
"477","","Gm23324"
"478","","Gm25982"
"479","","Mir5101"
"480","1453752_at","Gm26202"
"481","1435791_x_at","Gm26202"
"482","1436822_x_at","Gm26202"
"483","","Gm26050"
"484","","Gm25629"
"485","","Gm27843"
"486","","Gm22087"
"487","","Gm24561"
"488","","Gm23740"
"489","1454007_a_at","Gm25035"
"490","1430980_a_at","Gm22988"
"491","","Gm27640"
"492","","Gm23083"
"493","","Gm25637"
"494","","Gm25378"
"495","1451075_s_at","Mir546"
"496","","Mir1966"
"497","","Mir19a"
"498","","Gm44308"
"499","","Gm44409"
"500","","Gm27901"
"501","","Gm25588"
"502","","Gm23225"
"503","","Gm22345"
"504","","Mir7012"
"505","","Gm22640"
"506","","Gm25179"
"507","","Gm23112"
"508","","Gm26040"
"509","","Mir7233"
"510","","Mir365-1"
"511","","Mir181b-1"
"512","","Gm22226"
"513","","n-R5s136"
"514","","Gm24078"
"515","","Mir466p"
"516","","Gm26303"
"517","","Mir212"
"518","","Gm24346"
"519","","Mir466b-7"
"520","","Gm24064"
"521","","Gm44464"
"522","","Gm25796"
"523","","Gm26280"
"524","","Mir5623"
"525","","Gm25194"
"526","","Gm22987"
"527","","Gm26335"
"528","","Gm22378"
"529","","Gm23528"
"530","","Gm24217"
"531","","Gm25809"
"532","","Gm23402"
"533","","Gm22660"
"534","","Gm23300"
"535","","Gm27551"
"536","","Gm25202"
"537","","Gm26138"
"538","","Gm24076"
"539","","Gm23887"
"540","","Gm24460"
"541","","Gm26296"
"542","","Gm22600"
"543","","Gm24286"
"544","","Gm24263"
"545","","Gm23509"
"546","","Gm24313"
"547","","Gm22068"
"548","","Gm44461"
"549","","Gm23054"
"550","","Mir652"
"551","","Gm27861"
"552","","Mir378c"
"553","1427598_at","Gm26188"
"554","","Gm26479"
"555","","Mir6376"
"556","","Mir29a"
"557","","Gm24416"
"558","","Gm23370"
