"","affy_mouse430a_2","mgi_symbol"
"23245","1427598_at","Snord116l16"
"23246","","Gm23885"
"23247","","Gm24712"
"23248","","Gm24005"
"23249","","Gm23388"
"23250","","Gm25564"
"23251","","Mir7658"
"23252","","n-R5s50"
"23253","","Gm23996"
"23254","","Mir8108"
"23255","","Gm23820"
"23256","","Gm23932"
"23257","","Gm24612"
"23258","","Mir669a-1"
"23259","","Gm25008"
"23260","","Gm23199"
"23261","","Gm24910"
"23262","","Gm24436"
"23263","","Gm25937"
"23264","","Mir1197"
"23265","","Mir105"
"23266","","n-R5s217"
"23267","","Mir5113"
"23268","","Gm24897"
"23269","","Gm27387"
"23270","","Gm25952"
"23271","","Gm25403"
"23272","","Gm24304"
"23273","","Gm22538"
"23274","","Gm22229"
"23275","","Gm26300"
"23276","1426661_at","Snora3"
"23277","","Gm47277"
"23278","","Gm26141"
"23279","","Mir669j"
"23280","","Gm22253"
"23281","","Gm25185"
"23282","","Mir2137"
"23283","","Gm24891"
"23284","","Gm25766"
"23285","","Gm25405"
"23286","","Gm24722"
"23287","","Gm25314"
"23288","","Gm22335"
"23289","","Mir6911"
"23290","","Mir6364"
"23291","","Gm26447"
"23292","","Gm22867"
"23293","","n-R5s107"
"23294","","Gm22978"
"23295","","Gm23329"
"23296","","Gm22408"
"23297","","Gm23976"
"23298","","Mir326"
"23299","","Rpl36-ps4"
"23300","1417759_at","Pfpl"
"23301","","Gm10805"
"23302","","Gm17258"
"23303","","Gm21822"
"23304","","Gm17472"
"23305","","Gm23195"
"23306","","Gm24018"
"23307","","Gm23058"
"23308","","Gm25711"
"23309","","Gm24187"
"23310","","Gm25863"
"23311","","Mir301b"
"23312","","Gm44383"
"23313","","Gm23769"
"23314","","Mir8109"
"23315","","Gm25607"
"23316","","Gm22413"
"23317","","Gm23535"
"23318","","Gm26020"
"23319","","Mir7020"
"23320","","Mir582"
"23321","","Gm38670"
"23322","","Mir490"
"23323","","Gm26127"
"23324","","Gm25563"
"23325","","Gm25580"
"23326","","Gm23910"
"23327","","Gm25366"
"23328","","Gm25406"
"23329","","Gm22443"
"23330","","Snora16a"
"23331","","Gm25655"
"23332","","Gm28020"
"23333","","Gm24124"
"23334","","Gm27572"
"23335","","Gm25595"
"23336","","Gm27785"
"23337","","Mir192"
"23338","","Gm22788"
"23339","","Rnu12"
"23340","","Gm25726"
"23341","","Gm23289"
"23342","","Gm22066"
"23343","","Gm26058"
"23344","","Gm24279"
"23345","","Gm22472"
"23346","","Gm23449"
"23347","","Mir541"
"23348","","Gm22607"
"23349","","Gm23078"
"23350","","Mir7094-1"
"23351","","Gm22864"
"23352","","Gm25959"
"23353","","Gm25458"
"23354","","Mir3087"
"23355","","Gm25032"
"23356","","Mir7230"
"23357","","Gm25093"
"23358","","Gm24036"
"23359","","Mir1187"
"23360","","Mir3101"
"23361","1427111_s_at","Mir7082"
"23362","1427110_at","Mir7082"
"23363","","Gm25168"
"23364","","Mir6407"
"23365","","Gm22687"
"23366","","Gm23889"
"23367","","Mir330"
"23368","","Gm23279"
"23369","","Gm44302"
"23370","","Gm22284"
"23371","","Gm26156"
"23372","","Mir5118"
"23373","","Gm25747"
"23374","","Gm24140"
"23375","","Gm24226"
"23376","","Gm24677"
"23377","","Mir6377"
"23378","","Gm25798"
"23379","","Mir23a"
"23380","","Gm22616"
"23381","","Gm25978"
"23382","","Gm22561"
"23383","","Mir491"
"23384","","Gm26115"
"23385","","Gm22716"
"23386","1448122_at","Snora20"
"23387","1427598_at","Gm25615"
"23388","","Gm23636"
"23389","","Gm27924"
"23390","","Mir467a-7"
"23391","","Gm24358"
"23392","","Gm25770"
"23393","","Gm24118"
"23394","","Mir329"
"23395","","Gm22596"
"23396","","Gm24197"
"23397","","Gm25908"
"23398","","Gm17711"
"23399","1427216_at","Gm10582"
"23400","1425078_x_at",""
"23401","","Gm23776"
"23402","1427598_at","Snord116l15"
"23403","","Gm25687"
"23404","","Gm25653"
"23405","","Gm23837"
"23406","","n-R5s108"
"23407","","Mir7047"
"23408","1455904_at","Gm25789"
"23409","","Gm24503"
"23410","","Gm22558"
"23411","1436558_at","Gm49349"
"23412","","Gm26257"
"23413","","Gm25617"
"23414","","Gm22868"
"23415","","Gm23943"
"23416","","Gm23104"
"23417","","Gm23327"
"23418","","Gm24061"
"23419","","Gm22101"
"23420","","Gm23182"
"23421","","Snord116l17"
"23422","","Gm27672"
"23423","","Gm24296"
"23424","","Gm24113"
"23425","","Gm24892"
"23426","","Gm24929"
"23427","","Gm25993"
"23428","","n-R5s69"
"23429","","Gm24771"
"23430","","Gm24343"
"23431","","Gm25125"
"23432","","Gm24184"
"23433","1436222_at","Gm23212"
"23434","1424843_a_at","Gm23212"
"23435","1455904_at","Gm23212"
"23436","","Gm24839"
"23437","","Gm25186"
"23438","","Gm24565"
"23439","","Gm27926"
"23440","","Mir3088"
"23441","","Mir1946a"
"23442","","Gm25723"
"23443","","Gm22385"
"23444","","Gm22701"
"23445","","Mir3070a"
"23446","","Gm24831"
"23447","","Mir7044"
"23448","","Mir290b"
"23449","","Gm26036"
"23450","","Gm27639"
"23451","","Gm24837"
"23452","","Gm26354"
"23453","","Mir466l"
"23454","","Gm25643"
"23455","1450655_at","Gm22360"
"23456","1454722_at","Gm22360"
"23457","","Gm26195"
"23458","","Gm25860"
"23459","","Mir669a-8"
"23460","","Gm24596"
"23461","","Gm22576"
"23462","","Gm22325"
"23463","1422302_s_at","Gm22751"
"23464","","Gm25058"
"23465","","Gm24164"
"23466","","Gm24842"
"23467","","Gm24448"
"23468","","Gm22906"
"23469","","Gm22036"
"23470","","Gm22740"
"23471","","Gm22121"
"23472","","Gm23180"
"23473","","Gm22535"
"23474","1415824_at","Mir5114"
"23475","","Mir7680"
"23476","1430533_a_at","Mir7090"
"23477","","Gm24646"
"23478","","Gm23977"
"23479","","Mir6977"
"23480","","Gm22371"
"23481","","Gm23429"
"23482","","Gm25142"
"23483","","Gm25931"
"23484","","Gm25060"
"23485","","Mir138-2"
"23486","1444292_at","Mir294"
"23487","","Gm22683"
"23488","","Mir6954"
"23489","","Gm24719"
"23490","","Mir8106"
"23491","","Gm22459"
"23492","","Gm22347"
"23493","","Mir466b-6"
"23494","","Gm26035"
"23495","","Gm26096"
"23496","","Snora5c"
"23497","","Gm26402"
"23498","","Gm17662"
"23499","1435353_a_at",""
"23500","1426387_x_at",""
"23501","1439069_a_at",""
"23502","1436944_x_at",""
"23503","1434975_x_at",""
"23504","","Gm21882"
"23505","","Gm22983"
"23506","","Gm25123"
"23507","","Gm26395"
"23508","","Gm23575"
"23509","","Gm22220"
"23510","","Mir879"
"23511","","Gm24513"
"23512","","Gm25541"
"23513","","Gm22500"
"23514","","Gm22699"
"23515","1422475_a_at","Snord73a"
"23516","","Gm26391"
"23517","","Mir3060"
"23518","","Gm23468"
"23519","","Mir3963"
"23520","","Gm22651"
"23521","","Gm25774"
"23522","","Gm24986"
"23523","","Mir148b"
"23524","","Gm24587"
"23525","","Gm25260"
"23526","","Gm22478"
"23527","","Gm25945"
"23528","","Gm25176"
"23529","","Gm24666"
"23530","","Gm25280"
"23531","","Gm25787"
"23532","","Gm27910"
"23533","","Gm24765"
"23534","","Gm22634"
"23535","","Gm44468"
"23536","","Gm22732"
"23537","","Gm26072"
"23538","","Gm24500"
"23539","","Gm22895"
"23540","","Mir6353"
"23541","","Mir6335"
"23542","","Gm23829"
"23543","","Gm23064"
"23544","","Gm25100"
"23545","","Gm22510"
"23546","","Gm25170"
"23547","","Gm25350"
"23548","","Gm25430"
"23549","","n-R5s192"
"23550","","Gm26454"
"23551","","Gm27397"
"23552","","Gm22838"
"23553","","Mir669f"
"23554","","Mir6419"
"23555","","Mir365-2"
"23556","","Gm23846"
"23557","","n-R5s36"
"23558","","Gm22073"
"23559","1455001_x_at","Snord34"
"23560","1433928_a_at","Snord34"
"23561","1455485_x_at","Snord34"
"23562","1435873_a_at","Snord34"
"23563","1417608_a_at","Snord34"
"23564","","Gm26158"
"23565","","Gm22993"
"23566","","Gm24909"
"23567","","Gm47305"
"23568","","Gm23358"
"23569","","Mir6240"
"23570","","Gm24569"
"23571","","Gm25164"
"23572","","Gm25720"
"23573","","Gm27953"
"23574","","Gm22057"
"23575","","Gm27336"
"23576","","Gm25360"
"23577","","Gm25603"
"23578","","Gm23880"
"23579","","Gm23352"
"23580","","Gm24233"
"23581","","Gm22152"
"23582","","Gm23298"
"23583","","Mir3074-1"
"23584","","Gm24062"
"23585","","Gm10542"
"23586","","Gm25737"
"23587","","Gm11027"
"23588","","Snord107"
"23589","","Gm10663"
"23590","","Gm23334"
"23591","","Gm17420"
"23592","","Gm26307"
"23593","","n-R5s121"
"23594","","A530084C06Rik"
"23595","","Gm10198"
"23596","","Gm22189"
"23597","","Gm23494"
"23598","","Gm23941"
"23599","","Gm22999"
"23600","","Gm24761"
"23601","","Gm26204"
"23602","","Gm25505"
"23603","","Gm22704"
"23604","","Gm27991"
"23605","","Gm25132"
"23606","","Gm26079"
"23607","","Mir6391"
"23608","","Gm25103"
"23609","","Mir216a"
"23610","","Gm23793"
"23611","","Gm25300"
"23612","","Gm22094"
"23613","","Mir717"
"23614","1435151_a_at","Snord15b"
"23615","1452540_a_at","Gm44390"
"23616","1451645_at","Gm47278"
"23617","1425276_at","Gm47278"
"23618","","Gm25989"
"23619","","Gm27494"
"23620","","Mir10a"
"23621","","Mir7216"
"23622","","Gm22710"
"23623","","Gm25708"
"23624","","Gm23573"
"23625","","Gm22539"
"23626","","Mir467a-8"
"23627","","Gm23680"
"23628","","Gm23172"
"23629","","Snora9"
"23630","","Gm22551"
"23631","","Gm27723"
"23632","","Gm24451"
"23633","","Gm27405"
"23634","","9430025C20Rik"
"23635","","Mir8096"
"23636","","Gm26351"
"23637","","Mir3073a"
"23638","","Gm25425"
"23639","","Gm26405"
"23640","","Gm24280"
"23641","","Gm10944"
"23642","","Mir5710"
"23643","","Gm22361"
"23644","","Mir574"
"23645","","Gm17490"
"23646","","Gm23043"
"23647","","n-R5s202"
"23648","","Mir451a"
"23649","","Gm25831"
"23650","","Gm23332"
"23651","","Gm10849"
"23652","","Gm10172"
"23653","1427115_at","Mir6923"
"23654","","Gm25450"
"23655","","Gm17728"
"23656","","Gm10985"
"23657","","D130007C19Rik"
"23658","","Gm24880"
"23659","","Gm24336"
"23660","","Spry3"
"23661","1419426_s_at","Ccl21a"
"23662","","Gm9877"
"23663","","Mir5099"
"23664","","Gm10620"
"23665","","Gm9925"
"23666","","Rpl27a-ps2"
"23667","","Gm10617"
"23668","","Gm23553"
"23669","","Gm50110"
"23670","","Gm11032"
"23671","","Gm25838"
"23672","","Gm17617"
"23673","","Gm23616"
"23674","","Gm10583"
"23675","","Mir1247"
"23676","","Gm47290"
"23677","","Gm27755"
"23678","","Mir6926"
"23679","","Gm17545"
"23680","","Gm25579"
"23681","","Gm24188"
"23682","","Fam205a2"
"23683","","Fam205a3"
"23684","","Fam205a4"
"23685","","Mir344g"
"23686","","Ccl27a"
"23687","","Gm25785"
"23688","","Mir207"
"23689","","Gm11020"
"23690","","Mir1947"
"23691","","Gm21994"
"23692","","Gm10702"
"23693","","Gm24290"
"23694","","Gm22944"
"23695","","Gm24833"
"23696","","Mir8090"
"23697","","Gm11168"
"23698","","n-R5s149"
"23699","","Gm23816"
"23700","","Gm23169"
"23701","","Gm26384"
"23702","","Gm22778"
"23703","","Gm9806"
"23704","","Gm10188"
"23705","","Gm24625"
"23706","1454805_at","Gm7381"
"23707","","Gm23638"
"23708","","Gm22885"
"23709","","Gm25098"
"23710","","Mir99a"
"23711","","Gm23028"
"23712","","n-R5s46"
"23713","","Gm25169"
"23714","","Gm26042"
"23715","","Gm26741"
"23716","","Gm24477"
"23717","","Gm27882"
"23718","1439269_x_at","Mir93"
"23719","1416031_s_at","Mir93"
"23720","1438320_s_at","Mir93"
"23721","1416030_a_at","Mir93"
"23722","","Gm22163"
"23723","","Gm10721"
"23724","","Mir467a-5"
"23725","","Gm23280"
"23726","","Mir3081"
"23727","","Gm27847"
"23728","","B430305J03Rik"
"23729","","Gm23342"
"23730","","Gm24555"
"23731","","Dlk2"
"23732","1420807_a_at","Dlk2"
"23733","1450005_x_at","Dlk2"
"23734","","Gm49928"
"23735","","4930578I06Rik"
"23736","","Fam219b"
"23737","","A230020J21Rik"
"23738","","Gm26631"
"23739","1450927_at","Lztr1"
"23740","1455928_x_at","Lztr1"
"23741","","Lztr1"
"23742","1428096_at","Ipo11"
"23743","","Ipo11"
"23744","","Gm28988"
"23745","1449070_x_at","Apcdd1"
"23746","1418382_at","Apcdd1"
"23747","1418383_at","Apcdd1"
"23748","1454822_x_at","Apcdd1"
"23749","","Apcdd1"
"23750","1426953_at","Hmgxb4"
"23751","","Hmgxb4"
"23752","1415933_a_at","Cox5a"
"23753","1439267_x_at","Cox5a"
"23754","1448153_at","Cox5a"
"23755","1454184_a_at","Ikbkb"
"23756","1426333_a_at","Ikbkb"
"23757","1426207_at","Ikbkb"
"23758","","Ikbkb"
"23759","1432275_at","Ikbkb"
"23760","1432207_a_at","Toe1"
"23761","1426527_at","Toe1"
"23762","","Gm15346"
"23763","1439037_at","Ddx17"
"23764","1452155_a_at","Ddx17"
"23765","1437773_x_at","Ddx17"
"23766","","Get1"
"23767","1448845_at","Rpp25"
"23768","","Gm47663"
"23769","","Gm44627"
"23770","","Gm36931"
"23771","","Gm9411"
"23772","","Gm47668"
"23773","","Gm14833"
"23774","1423558_at","Ifngr2"
"23775","1423557_at","Ifngr2"
"23776","","Ifngr2"
"23777","1420048_at","C78859"
"23778","1416863_at","Abhd8"
"23779","","Abhd8"
"23780","","Gm16155"
"23781","","Gm47670"
"23782","","Gm11033"
"23783","","Zfp72"
"23784","1416008_at","Satb1"
"23785","1416007_at","Satb1"
"23786","1436182_at","Satb1"
"23787","","Satb1"
"23788","","9230109A22Rik"
"23789","","Pxdn"
"23790","","Olfr147"
"23791","","Gm15575"
"23792","","Gm10752"
"23793","","Npsr1"
"23794","","AU016765"
"23795","","Gm16198"
"23796","","D630002J18Rik"
"23797","","Gm8227"
"23798","","5830426I08Rik"
"23799","","Gm45052"
"23800","1416349_at","Mrpl34"
"23801","","Gm38341"
"23802","","Gm31881"
"23803","","Olfr901"
"23804","","4930402F06Rik"
"23805","","Gm20701"
"23806","1421289_at","Hspb7"
"23807","1421290_at","Hspb7"
"23808","1434927_at","Hspb7"
"23809","","Gm37905"
"23810","1427407_s_at","Trip11"
"23811","1427406_at","Trip11"
"23812","","Trip11"
"23813","","Gm33979"
"23814","","Map3k10"
"23815","","Gm35986"
"23816","1417178_at","Gipc2"
"23817","","Gipc2"
"23818","","Gm48021"
"23819","1422712_a_at","Gm14176"
"23820","","Gm48022"
"23821","1456383_at","Rsl1d1"
"23822","","Rsl1d1"
"23823","","4930413G21Rik"
"23824","","Olfr902"
"23825","","Gm40689"
"23826","1425114_at","Rbbp6"
"23827","1426487_a_at","Rbbp6"
"23828","1425115_at","Rbbp6"
"23829","","Rbbp6"
"23830","","Gm48023"
"23831","","Olfr1543-ps1"
"23832","","Gm14741"
"23833","1460690_at","Mcrip1"
"23834","","Gm15983"
"23835","1451368_at","Alg1"
"23836","","Alg1"
"23837","","Srarp"
"23838","1437850_a_at","Cnbp"
"23839","1416244_a_at","Cnbp"
"23840","","Cnbp"
"23841","","Gm11594"
"23842","1423492_at","Mrpl45"
"23843","","Mrpl45"
"23844","","Micu2"
"23845","1424150_at","Gdpd5"
"23846","","Gdpd5"
"23847","","Isx"
"23848","","Gm8531"
"23849","","Hmgb1-rs16"
"23850","1435012_x_at","Cela3b"
"23851","1415883_a_at","Cela3b"
"23852","1415884_at","Cela3b"
"23853","1435611_x_at","Cela3b"
"23854","1437326_x_at","Cela3b"
"23855","","Gm37563"
"23856","","Alkbh6"
"23857","","Vmn2r-ps67"
"23858","","Olfr315"
"23859","","Ska2l-ps"
"23860","1425869_a_at","Psen2"
"23861","1431542_at","Psen2"
"23862","","Psen2"
"23863","","Clec4b2"
"23864","","Slc16a14"
"23865","","Gm38152"
"23866","","Gm36536"
"23867","1418839_at","Glmn"
"23868","","Glmn"
"23869","","Gm7695"
"23870","","Olfr314"
"23871","","Olfr904"
"23872","1415778_at","Gm5521"
"23873","1439413_x_at","Gm5521"
"23874","1439432_x_at","Gm5521"
"23875","1456743_x_at","Gm5521"
"23876","","Gm7102"
"23877","1448523_at","Nphp1"
"23878","1416919_a_at","Nphp1"
"23879","1453686_x_at","Nphp1"
"23880","1448790_at","Sema6b"
"23881","","Sema6b"
"23882","","Zfp853"
"23883","","Ttc9b"
"23884","","Olfr905"
"23885","1432430_a_at","Kansl1"
"23886","1452373_at","Kansl1"
"23887","","Kansl1"
"23888","1448212_at","Psmg2"
"23889","1425373_a_at","Psmg2"
"23890","","Gm18358"
"23891","","Gm5883"
"23892","","Gpr179"
"23893","1427007_at","Sash3"
"23894","","Fam229a"
"23895","","Jakmip2"
"23896","","Gm50255"
"23897","","Gm15600"
"23898","1448798_at","Eps8l3"
"23899","","Eps8l3"
"23900","","Gm47674"
"23901","1425003_at","Uroc1"
"23902","1451565_s_at","Uroc1"
"23903","","Gm45823"
"23904","","Gm43980"
"23905","","Gm18001"
"23906","1454725_at","Tra2a"
"23907","","Tra2a"
"23908","","D830024N08Rik"
"23909","1416352_s_at","Tecr"
"23910","1429681_a_at","Tecr"
"23911","","Gm17753"
"23912","1425567_a_at","Anxa5"
"23913","","Anxa5"
"23914","","Vmn2r67"
"23915","1417941_at","Gm6741"
"23916","","Gm5392"
"23917","","Gm49988"
"23918","","Susd4"
"23919","1424221_at","Susd4"
"23920","1448373_at","Mrpl18"
"23921","","Gm49989"
"23922","","Ociad2"
"23923","","Gm49990"
"23924","1421692_at","Cacna1e"
"23925","","Cacna1e"
"23926","","Gm21430"
"23927","1434038_at","Dnajc13"
"23928","","Dnajc13"
"23929","","Olfr906"
"23930","","Gm49991"
"23931","","R3hdm2"
"23932","","Gm15404"
"23933","1436668_at","Eef2kmt"
"23934","","Eef2kmt"
"23935","1429758_at","1700017B05Rik"
"23936","","1700017B05Rik"
"23937","","Ppp1r27"
"23938","1423554_at","Ggcx"
"23939","","Ggcx"
"23940","","Gm11394"
"23941","","Gm32633"
"23942","1422141_s_at","Gm7592"
"23943","1435792_at","Gm7592"
"23944","1422140_at","Gm7592"
"23945","1460416_s_at","Gm7592"
"23946","","1700069L16Rik"
"23947","","Gm16028"
"23948","","Rps6kc1"
"23949","1434563_at","Rps6kc1"
"23950","","Gm10553"
"23951","","Gm20036"
"23952","","Gm2389"
"23953","","Gm20702"
"23954","","Gm7582"
"23955","1426701_at","Fam160a2"
"23956","1426702_at","Fam160a2"
"23957","","Fam160a2"
"23958","","Gm33336"
"23959","1456493_at","Gm16026"
"23960","","Gm16026"
"23961","","Gm37867"
"23962","1422302_s_at","Ftl1-ps1"
"23963","1418364_a_at","Ftl1-ps1"
"23964","","Olfr907"
"23965","","Gm37924"
"23966","","Gm18011"
"23967","","4933406I18Rik"
"23968","","Gm47428"
"23969","1425421_at","Gm20274"
"23970","","3110001I22Rik"
"23971","","Olfr90"
"23972","1416842_at","Gstm5"
"23973","","Gm14361"
"23974","1424537_at","Btbd35f18"
"23975","","Gm47667"
"23976","1426490_at","Bfar"
"23977","1426489_s_at","Bfar"
"23978","1426488_at","Bfar"
"23979","","Bfar"
"23980","","Reep4"
"23981","1424328_s_at","Anapc15-ps"
"23982","","Gm17966"
"23983","","Gm38056"
"23984","","Gm47669"
"23985","1418359_at","Mettl27"
"23986","","Mettl27"
"23987","1448319_at","Gm6644"
"23988","1437133_x_at","Gm6644"
"23989","1456590_x_at","Gm6644"
"23990","","4930500L23Rik"
"23991","","Gm37382"
"23992","","Plcl1"
"23993","","Gm1527"
"23994","1455821_x_at","C1qbp"
"23995","1448274_at","C1qbp"
"23996","","C1qbp"
"23997","","Tnfaip8l1"
"23998","1449125_at","Tnfaip8l1"
"23999","1419110_at","Riok1"
"24000","1449346_s_at","Riok1"
"24001","1425358_at","Riok1"
"24002","","Riok1"
"24003","1419633_at","Uncx"
"24004","","Uncx"
"24005","1429562_at","A530040E14Rik"
"24006","1429563_x_at","A530040E14Rik"
"24007","","A530040E14Rik"
"24008","1418754_at","Adcy8"
"24009","","Adcy8"
"24010","1415879_a_at","Rplp2"
"24011","","Rplp2"
"24012","","Sumo1"
"24013","1451005_at","Sumo1"
"24014","1456349_x_at","Sumo1"
"24015","1438289_a_at","Sumo1"
"24016","","Evc2"
"24017","","Zfp750"
"24018","","A930019D19Rik"
"24019","","Gm6963"
"24020","","Vmn2r-ps4"
"24021","","Plppr5"
"24022","","Gm14117"
"24023","","Fyn"
"24024","1417558_at","Fyn"
"24025","1448765_at","Fyn"
"24026","","Gm12979"
"24027","","Ralgapa2"
"24028","","Vmn2r-ps68"
"24029","1454796_at","Ficd"
"24030","","Nsun3"
"24031","","Gm47671"
"24032","1423702_at","H1f0"
"24033","1450522_a_at","H1f0"
"24034","","1110019B22Rik"
"24035","","Trav23"
"24036","","Fam183b"
"24037","","Gm15489"
"24038","","Gm47708"
"24039","","Trdv3"
"24040","","Gm15403"
"24041","","Gm49544"
"24042","1429562_at","Gm16038"
"24043","1429563_x_at","Gm16038"
"24044","1425078_x_at","Gm29284"
"24045","","Gm49992"
"24046","1424586_at","Ehbp1"
"24047","","Ehbp1"
"24048","","Gm49993"
"24049","1415748_a_at","Dctn5"
"24050","","Dctn5"
"24051","","Gm18342"
"24052","","3110083C13Rik"
"24053","","Rpain"
"24054","","Gm47656"
"24055","","Klhl35"
"24056","","Vmn2r68"
"24057","","1700122D07Rik"
"24058","1434127_a_at","Gm47655"
"24059","","Gm41654"
"24060","","Gm6264"
"24061","","Gm3772"
"24062","","Gm9012"
"24063","","Il12rb1"
"24064","1418166_at","Il12rb1"
"24065","","Pde3b"
"24066","","Gm37542"
"24067","","Gm18996"
"24068","","Trdv4"
"24069","","D430013B06Rik"
"24070","","1700084F23Rik"
"24071","1436760_a_at","Gm5121"
"24072","","Gm49994"
"24073","","Gm973"
"24074","","Trdj1"
"24075","1451005_at","Gm14269"
"24076","1456349_x_at","Gm14269"
"24077","1438289_a_at","Gm14269"
"24078","1418278_at","Apoc3"
"24079","1419857_at","Apoc3"
"24080","","Gm30275"
"24081","1415922_s_at","Marcksl1"
"24082","1437226_x_at","Marcksl1"
"24083","1435627_x_at","Marcksl1"
"24084","1435415_x_at","Marcksl1"
"24085","1423608_at","Itm2a"
"24086","1451047_at","Itm2a"
"24087","","A530032D15Rik"
"24088","","Trdd2"
"24089","","Gm11660"
"24090","","Trdd1"
"24091","","Gm20414"
"24092","","Glt8d2"
"24093","","Gm48024"
"24094","","Gm20415"
"24095","1438092_x_at","Gm6722"
"24096","1438091_a_at","Gm6722"
"24097","","Fam167a"
"24098","","Olfr313"
"24099","","Vmn2r-ps69"
"24100","","Rnf180"
"24101","","Piwil4"
"24102","1423627_at","Nqo1"
"24103","","Cyp2c72-ps"
"24104","","Arhgef6"
"24105","","Olfr312"
"24106","","Gm50438"
"24107","","Tmx3"
"24108","","Gm47074"
"24109","","Gm19145"
"24110","1416219_at","Rpl19-ps1"
"24111","1445047_at","Rpl19-ps1"
"24112","","Gm6751"
"24113","","Gm14835"
"24114","","Gm43773"
"24115","","Gm43768"
"24116","","Gm43039"
"24117","1429562_at","C130026I21Rik"
"24118","1429563_x_at","C130026I21Rik"
"24119","","C130026I21Rik"
"24120","1435660_at","C130026I21Rik"
"24121","1432144_a_at","Rchy1"
"24122","","Rchy1"
"24123","","Vmn2r128"
"24124","","Gm43774"
"24125","","4933401B06Rik"
"24126","","4732465J04Rik"
"24127","","Snx27"
"24128","","Gm27039"
"24129","1436270_at","Cyb5d1"
"24130","","Cyb5d1"
"24131","","Gm15732"
"24132","","Abca17"
"24133","","Gm19620"
"24134","1421814_at","Msn"
"24135","1450379_at","Msn"
"24136","","Msn"
"24137","","Gm49995"
"24138","1427372_at","Cyp27b1"
"24139","","Cyp27b1"
"24140","","Gm21018"
"24141","1427109_at","Tmem259"
"24142","1424466_at","Ipo9"
"24143","","Ipo9"
"24144","1422560_at","Rsc1a1"
"24145","","Tlr5"
"24146","","Tmem88"
"24147","","Sh3rf3"
"24148","","Gm28411"
"24149","1422560_at","Ddi2"
"24150","1425951_a_at","Clec4n"
"24151","1419627_s_at","Clec4n"
"24152","","Clec4n"
"24153","1423545_a_at","Zfp207"
"24154","1455092_at","Zfp207"
"24155","1423546_at","Zfp207"
"24156","","Zfp207"
"24157","1434752_at","Zfp207"
"24158","1448439_at","Mydgf"
"24159","1448440_x_at","Mydgf"
"24160","1416696_at","Mydgf"
"24161","","Mydgf"
"24162","1428526_at","Naa38"
"24163","1426276_at","Ifih1"
"24164","","Ifih1"
"24165","","Tmem231"
"24166","","Gm16796"
"24167","","Pfdn4"
"24168","","Gm15586"
"24169","1460742_at","Alg3"
"24170","","Gm10706"
"24171","1420795_at","Fgf9"
"24172","1416790_a_at","Tdg"
"24173","1435715_x_at","Tdg"
"24174","1448462_at","Tdg"
"24175","","Tdg"
"24176","","Gm43745"
"24177","","Gm17141"
"24178","","Gm42424"
"24179","","Cage1"
"24180","","Vmn2r4"
"24181","","Dpp9"
"24182","","Gm34583"
"24183","1451284_at","Yipf3"
"24184","","Gm31728"
"24185","","Vmn2r-ps6"
"24186","1449509_at","Serf1"
"24187","1434291_a_at","Serf1"
"24188","1454908_x_at","Serf1"
"24189","1454907_at","Serf1"
"24190","","Vmn2r-ps7"
"24191","","Gm20656"
"24192","","Vstm2l"
"24193","1421513_at","Tdrd1"
"24194","","Gm47718"
"24195","","Vmn2r-ps8"
"24196","","Gm33543"
"24197","","Gm17109"
"24198","1460177_at","Cndp2"
"24199","1448263_a_at","Cndp2"
"24200","","Cndp2"
"24201","","Gm47719"
"24202","","Gm49480"
"24203","1427409_at","Marchf9"
"24204","","Gm47724"
"24205","","Espl1"
"24206","1420766_at","Socs7"
"24207","","Socs7"
"24208","","Gm45457"
"24209","","Gm45458"
"24210","","Thap6"
"24211","1452515_a_at","Xylt2"
"24212","","Xylt2"
"24213","","Rpsa-ps3"
"24214","","1700104B16Rik"
"24215","","Sorbs2"
"24216","","Gm17133"
"24217","","Gm12050"
"24218","1448647_at","Man2a1"
"24219","","Man2a1"
"24220","","Gm12051"
"24221","1418866_at","Cyp24a1"
"24222","1418867_at","Cyp24a1"
"24223","","Vmn2r5"
"24224","","Ccdc126"
"24225","","1700028K03Rik"
"24226","","Gm6905"
"24227","1415864_at","Bpgm"
"24228","1448119_at","Bpgm"
"24229","1415865_s_at","Bpgm"
"24230","1452502_at","BC001981"
"24231","","Qrfprl"
"24232","1422141_s_at","Gm7609"
"24233","1422140_at","Gm7609"
"24234","1460416_s_at","Gm7609"
"24235","","1810062G17Rik"
"24236","","Gm43749"
"24237","1434731_x_at","Prdx1"
"24238","1436691_x_at","Prdx1"
"24239","1416000_a_at","Prdx1"
"24240","1433866_x_at","Prdx1"
"24241","","Prdx1"
"24242","","Gm44684"
"24243","","Arl13b"
"24244","","Epb41l3"
"24245","1426010_a_at","Epb41l3"
"24246","1419062_at","Epb41l3"
"24247","1451049_at","Bcap31"
"24248","1456279_a_at","Bcap31"
"24249","","Gm45910"
"24250","1450464_at","E4f1"
"24251","","E4f1"
"24252","","Gm45054"
"24253","1426535_at","Poglut1"
"24254","","Poglut1"
"24255","1423693_at","Cela1"
"24256","","Cela1"
"24257","","E430024I08Rik"
"24258","1426957_at","Trp53bp1"
"24259","1426956_a_at","Trp53bp1"
"24260","","Trp53bp1"
"24261","","Gm42559"
"24262","1454629_at","Iffo1"
"24263","1454628_at","Iffo1"
"24264","","Iffo1"
"24265","","Gm47435"
"24266","","Fam193a"
